model_1,model_2,mean_diff,t_statistic,p_value,significant,significance_level
custom_cnn,inception_v3,-0.08451405763626096,-1.1498667223565036,0.3142706817782558,False,ns
custom_cnn,resnet50,-0.06622194051742547,-0.7016089766972484,0.521596781041138,False,ns
custom_cnn,svm,-0.059170660180296486,-0.7890808565247988,0.47420446000559213,False,ns
custom_cnn,vgg16,-0.10306267738342278,-1.5040663089515485,0.20700309872970382,False,ns
custom_cnn,xception,-0.09685161113739016,-0.9999460542308402,0.3739241271948952,False,ns
inception_v3,resnet50,0.018292117118835494,0.4588626758136343,0.670159384400469,False,ns
inception_v3,svm,0.025343397455964478,1.417020595613699,0.22943692594964646,False,ns
inception_v3,vgg16,-0.01854861974716182,-1.3192699505438932,0.2575287508520197,False,ns
inception_v3,xception,-0.012337553501129195,-0.41953476249461674,0.6963776777351015,False,ns
resnet50,svm,0.0070512803371289845,0.28454368479768044,0.7901170594157119,False,ns
resnet50,vgg16,-0.036840736865997314,-0.9188870235979265,0.4101510370071965,False,ns
resnet50,xception,-0.03062967061996469,-0.9025367485308301,0.41780709546885264,False,ns
svm,vgg16,-0.0438920172031263,-2.5992500543459642,0.0600955459376081,False,ns
svm,xception,-0.03768095095709367,-1.280744497980587,0.26950167428702887,False,ns
vgg16,xception,0.006211066246032626,0.15891752431319903,0.881434825403608,False,ns
